reef_region,reef_species_id,reef_common_name,scientificName,match_key,reef_family_common,reef_family_scientific,reef_is_invertebrate
TWA,0923,Atlantic Moonfish,Selene setapinnis,selene setapinnis,Jack,Carangidae,
TWA,0483,Atlantic Needlefish,Strongylura marina,strongylura marina,Needlefish,Belonidae,
TWA,0993,Atlantic Oyster Blenny,Hypleurochilus pseudoaequipinnis,hypleurochilus pseudoaequipinnis,Blenny - Combtooth,Blenniidae,
TWA,0744,Atlantic Salmon,Salmo salar,salmo salar,Trout/Salmon,Salmonidae,
TWA,0768,Atlantic Seasnail,Liparis atlanticus,liparis atlanticus,Lumpfish & Snailfish,Cyclopteridae,
TWA,0557,Atlantic Sharpnose Shark,Rhizoprionodon terraenovae,rhizoprionodon terraenovae,Requiem Shark,Carcharhinidae,
TWA,0769,Atlantic Silverside,Menidia menidia,menidia menidia,Neotropical Silversides,Atherinopsidae,
TWA,0235,Atlantic Spadefish,Chaetodipterus faber,chaetodipterus faber,Spadefish,Ephippidae,
TWA,0765,Atlantic Spiny Lumpsucker,Eumicrotremus spinosus,eumicrotremus spinosus,Lumpfish & Snailfish,Cyclopteridae,
TWA,0841,Atlantic Stingray,Dasyatis sabina,dasyatis sabina,Stingray,Dasyatidae,
TWA,0633,Atlantic Thread Herring,Opisthonema oglinum,opisthonema oglinum,Herring,Clupeidae,
TWA,0878,Atlantic Tomcod,Microgadus tomcod,microgadus tomcod,Cod,Gadidae,
TWA,0510,Atlantic Torpedo Ray,Torpedo nobiliana,torpedo nobiliana,Electric Ray,Torpedinidae,
TWA,0713,Atlantic Wolffish,Anarhichas lupus,anarhichas lupus,Wolffish,Anarhichadidae,
TWA,0847,Bahamas (Red Banner) Blenny (pka Redspine Glass Blenny),Emblemariopsis occidentalis,emblemariopsis occidentalis,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0403,Balao,Hemiramphus balao,hemiramphus balao,Halfbeak,Hemiramphidae,
TWA,1106,Bald Blenny,Paraclinus infrons,paraclinus infrons,Blenny - Labrisomids,Labrisomidae,
TWA,0163,Balloonfish,Diodon holocanthus,diodon holocanthus,Porcupinefish,Diodontidae,
TWA,0404,Ballyhoo,Hemiramphus brasiliensis,hemiramphus brasiliensis,Halfbeak,Hemiramphidae,
TWA,0316,Banded Blenny,Paraclinus fasciatus,paraclinus fasciatus,Blenny - Labrisomids,Labrisomidae,
TWA,0030,Banded Butterflyfish,Chaetodon striatus,chaetodon striatus,Butterflyfish,Chaetodontidae,
TWA,0715,Banded Gunnel,Pholis fasciata,pholis fasciata,Gunnel,Pholidae,
TWA,0462,Banded Jawfish,Opistognathus macrognathus,opistognathus macrognathus,Jawfish,Opistognathidae,
TWA,0738,Banded Killifish,Fundulus diaphanus,fundulus diaphanus,Killifish,Cyprinodontidae,
TWA,0890,Banded Puffer,Colomesus psittacus,colomesus psittacus,Puffer,Tetraodontidae,
TWA,0614,Banded Rudderfish,Seriola zonata,seriola zonata,Jack,Carangidae,
TWA,0164,Bandtail Puffer,Sphoeroides spengleri,sphoeroides spengleri,Puffer,Tetraodontidae,
TWA,0545,Bandtail Searobin,Prionotus ophryas,prionotus ophryas,Searobin,Triglidae,
TWA,0652,Bandtooth Conger,Ariosoma balearicum,ariosoma balearicum,Conger,Congridae,
TWA,0594,Bank Butterflyfish,Chaetodon aya,chaetodon aya,Butterflyfish,Chaetodontidae,
TWA,0529,Bank Sea Bass,Centropristis ocyurus,centropristis ocyurus,Seabass,Serranidae,
TWA,0883,Banner Blenny,Emblemaria atlantica,emblemaria atlantica,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0415,Banner Goby,Microgobius microlepis,microgobius microlepis,Goby,Gobiidae,
TWA,0777,Bantam Bass,Parasphyraenops incisus,parasphyraenops incisus,Seabass,Serranidae,
TWA,0133,Bar Jack,Caranx ruber,caranx ruber,Jack,Carangidae,
TWA,0820,Barber Goby (aka Widestripe Goby),Gobiosoma figaro,gobiosoma figaro,Goby,Gobiidae,
TWA,0524,Barbfish,Scorpaena brasiliensis,scorpaena brasiliensis,Scorpionfish,Scorpaenidae,
TWA,0632,Barbu,Polydactylus virginicus,polydactylus virginicus,Threadfin,Polynemidae,
TWA,0317,Barfin Blenny,Malacoctenus versicolor,malacoctenus versicolor,Blenny - Labrisomids,Labrisomidae,
TWA,0952,Barfin Goby,Coryphopterus alloides,coryphopterus alloides,Goby,Gobiidae,
TWA,0311,Barred Blenny,Hypleurochilus bermudensis,hypleurochilus bermudensis,Blenny - Combtooth,Blenniidae,
TWA,0035,Barred Cardinalfish,Apogon binotatus,apogon binotatus,Cardinalfish,Apogonidae,
TWA,0362,Barred Clingfish,Tomicodon fasciatus,tomicodon fasciatus,Clingfish,Gobiesocidae,
TWA,0118,Barred Hamlet (Caribbean),Hypoplectrus puella,hypoplectrus puella,Seabass,Serranidae,
TWA,0862,Barred Searobin,Prionotus martis,prionotus martis,Searobin,Triglidae,
TWA,0466,Barsnout Goby,Elacatinus illecebrosum,elacatinus illecebrosum,Goby,Gobiidae,
TWA,0417,Bartail Goby,Coryphopterus thrix,coryphopterus thrix,Goby,Gobiidae,
TWA,0752,Basking Shark,Cetorhinus maximus,cetorhinus maximus,Mackerel Shark,Lamnidae,
TWA,0760,Bay Anchovy,Anchoa mitchilli,anchoa mitchilli,Anchovy,Engraulidae,
TWA,0963,Bearded Brotula,Brotula barbata,brotula barbata,Cusk-eel,Ophidiidae,
TWA,0806,Bearded Goby,Barbulifer ceuthoecus,barbulifer ceuthoecus,Goby,Gobiidae,
TWA,0579,Bearded Toadfish,Sanopus barbatus,sanopus barbatus,Toadfish,Batrachoididae,
TWA,0047,Beaugregory,Stegastes leucostictus,stegastes leucostictus,Damselfish,Pomacentridae,
TWA,1060,Belize Blackcheek Blenny,Starksia weigti,starksia weigti,Blenny - Labrisomids,Labrisomidae,
TWA,0036,Belted Cardinalfish,Apogon townsendi,apogon townsendi,Cardinalfish,Apogonidae,
TWA,0577,Belted Sandfish,Serranus subligarius,serranus subligarius,Seabass,Serranidae,
TWA,0635,Bermuda Bream,Diplodus bermudensis,diplodus bermudensis,Porgy,Sparidae,
TWA,0221,Bermuda Chub/Gray Chub,Kyphosus sectatrix / K. bigibbus,kyphosus sectatrix,Chub,Kyphosidae,
TWA,0636,Bermuda Halfbeak,Hemiramphus bermudensis,hemiramphus bermudensis,Halfbeak,Hemiramphidae,
TWA,0992,Bermuda Hog-mouth Fry (aka Bermuda Anchovy),Anchoa choerostoma,anchoa choerostoma,Anchovy,Engraulidae,
TWA,0678,Bermuda killifish,Fundulus bermudae,fundulus bermudae,Killifish,Cyprinodontidae,
TWA,0048,Bicolor Damselfish,Stegastes partitus,stegastes partitus,Damselfish,Pomacentridae,
TWA,0835,Bicolored Sand Eel,Bascanichthys paulensis,bascanichthys paulensis,Snake Eel,Ophichthidae,
TWA,1111,Big-eyed Frogfish,Antennarius radiosus,antennarius radiosus,Frogfish,Antennariidae,
TWA,0011,Bigeye,Priacanthus arenatus,priacanthus arenatus,Bigeye,Priacanthidae,
TWA,0955,Bigeye Anchovy,Anchoa lamprotaenia,anchoa lamprotaenia,Anchovy,Engraulidae,
TWA,0475,Bigeye Mojarra,Eucinostomus havana,eucinostomus havana,Mojarra,Gerreidae,
TWA,0452,Bigeye Scad,Selar crumenophthalmus,selar crumenophthalmus,Jack,Carangidae,
TWA,0874,Bighead Searobin,Prionotus tribulus,prionotus tribulus,Searobin,Triglidae,
TWA,0350,Bigtooth Cardinalfish,Apogon affinis,apogon affinis,Cardinalfish,Apogonidae,
TWA,0588,Black Brotula,Stygnobrotula latebricola,stygnobrotula latebricola,Viviparous Brotula,Bythitidae,
TWA,0376,Black Drum,Pogonias cromis,pogonias cromis,Drum,Sciaenidae,
TWA,0207,Black Durgon,Melichthys niger,melichthys niger,Triggerfish,Balistidae,
TWA,0091,Black Grouper,Mycteroperca bonaci,mycteroperca bonaci,Seabass,Serranidae,
TWA,0443,Black Grunt,Haemulon bonariense,haemulon bonariense,Grunt,Haemulidae,
TWA,0119,Black Hamlet,Hypoplectrus nigricans,hypoplectrus nigricans,Seabass,Serranidae,
TWA,0453,Black Jack,Caranx lugubris,caranx lugubris,Jack,Carangidae,
TWA,0109,Black Margate,Anisotremus surinamensis,anisotremus surinamensis,Grunt,Haemulidae,
TWA,0531,Black Sea Bass,Centropristis striata,centropristis striata,Seabass,Serranidae,
TWA,0600,Black Snapper,Apsilus dentatus,apsilus dentatus,Snapper,Lutjanidae,
TWA,1151,Black-tailed Dascyllus (Non-native),Dascyllus melanurus,dascyllus melanurus,Damselfish,Pomacentridae,
TWA,0695,Blackbar Drum,Equetus iwamotoi,equetus iwamotoi,Drum,Sciaenidae,
TWA,1095,Blackbar Shy Blenny,Starksia fasciata,starksia fasciata,Blenny - Labrisomids,Labrisomidae,
TWA,0198,Blackbar Soldierfish,Myripristis jacobus,myripristis jacobus,Squirrelfish,Holocentridae,
TWA,1059,Blackbelly Blenny,Stathmonotus hemphillii,stathmonotus hemphillii,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0009,Blackcap Basslet,Gramma melacara,gramma melacara,Basslet,Grammatidae,
TWA,0849,Blackcheek Shy Blenny Complex,Starksia lepicoelia complex,starksia lepicoelia,Blenny - Labrisomids,Labrisomidae,
TWA,0724,Blackcheek Tonguefish,Symphurus plagiusa,symphurus plagiusa,Tonguefishes,Cynoglossidae,
TWA,0826,Blackear Bass,Serranus atrobranchus,serranus atrobranchus,Seabass,Serranidae,
TWA,0212,Blackear Wrasse,Halichoeres poeyi,halichoeres poeyi,Wrasse,Labridae,
TWA,0381,Blackedge Moray,Gymnothorax nigromarginatus,gymnothorax nigromarginatus,Moray,Muraenidae,
TWA,0342,Blackedge Triplefin,Enneanectes atrorus,enneanectes atrorus,Triplefin (Blenny),Tripterygiidae,
TWA,0318,Blackfin Blenny,Paraclinus nigripinnis,paraclinus nigripinnis,Blenny - Labrisomids,Labrisomidae,
TWA,0037,Blackfin Cardinalfish,Astrapogon puncticulatus,astrapogon puncticulatus,Cardinalfish,Apogonidae,
TWA,1058,Blackfin Glass Blenny (pka Fine-cirrus Blenny),Emblemariopsis leptocirris,emblemariopsis leptocirris,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0189,Blackfin Snapper,Lutjanus buccanella,lutjanus buccanella,Snapper,Lutjanidae,
TWA,1072,Blackfinned Clingfish,Gobiesox nigripinnis,gobiesox nigripinnis,Clingfish,Gobiesocidae,
TWA,0842,Blacknose Shark,Carcharhinus acronotus,carcharhinus acronotus,Requiem Shark,Carcharhinidae,
TWA,1014,Blackpored Eel,Ophichthus melanoporus,ophichthus melanoporus,Snake Eel,Ophichthidae,
TWA,0670,Blackringed Goby,Tigrigobius zebrellus,tigrigobius zebrellus,Goby,Gobiidae,
TWA,0387,Blackspotted Snake Eel,Quassiremus ascensionis,quassiremus ascensionis,Snake Eel,Ophichthidae,
TWA,0186,Blacktip Shark,Carcharhinus limbatus,carcharhinus limbatus,Requiem Shark,Carcharhinidae,
TWA,0798,Blackwing Searobin,Prionotus rubio,prionotus rubio,Searobin,Triglidae,
TWA,0001,Blue Angelfish,Holacanthus bermudensis,holacanthus bermudensis,Angelfish,Pomacanthidae,
TWA,0042,Blue Chromis,Azurina cyanea,azurina cyanea,Damselfish,Pomacentridae,
TWA,0896,Blue Croaker,Bairdiella batabana,bairdiella batabana,Drum,Sciaenidae,
TWA,0078,Blue Dartfish (Blue Goby),Ptereleotris calliurus,ptereleotris calliurus,Dartfish,Ptereleotridae,
TWA,0120,Blue Hamlet,Hypoplectrus gemma,hypoplectrus gemma,Seabass,Serranidae,
TWA,0602,Blue Marlin,Makaira nigricans,makaira nigricans,Billfishes,Istiophoridae,
TWA,0144,Blue Parrotfish,Scarus coeruleus,scarus coeruleus,Parrotfish,Scaridae,
TWA,0134,Blue Runner,Caranx crysos,caranx crysos,Jack,Carangidae,
TWA,0753,Blue Shark,Prionace glauca,prionace glauca,Requiem Shark,Carcharhinidae,
TWA,0204,Blue Tang,Acanthurus coeruleus,acanthurus coeruleus,Surgeonfish,Acanthuridae,
TWA,0735,Blueback Herring,Alosa aestivalis,alosa aestivalis,Herring,Clupeidae,
TWA,0775,Bluefin Tuna,Thunnus thynnus,thunnus thynnus,Mackerel,Scombridae,
TWA,0737,Bluefish,Pomatomus saltatrix,pomatomus saltatrix,Bluefish,Pomatomidae,
TWA,1085,Bluegold Glass Blenny,Emblemariopsis ruetzleri,emblemariopsis ruetzleri,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0776,Bluegold Goby,Lythrypnus spilus,lythrypnus spilus,Goby,Gobiidae,
TWA,0213,Bluehead,Thalassoma bifasciatum,thalassoma bifasciatum,Wrasse,Labridae,
TWA,0931,Bluelip Hamlet,Hypoplectrus affinis,hypoplectrus affinis,Seabass,Serranidae,
TWA,0145,Bluelip Parrotfish,Cryptotomus roseus,cryptotomus roseus,Parrotfish,Scaridae,
TWA,0920,Bluespotted Blenny,Acanthemblemaria cf. rivasi,acanthemblemaria cf,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0222,Bluespotted Cornetfish,Fistularia tabacaria,fistularia tabacaria,Cornetfish,Fistulariidae,
TWA,0801,Bluespotted Damselfish,Stegastes fuscus,stegastes fuscus,Damselfish,Pomacentridae,
TWA,0789,Bluespotted Searobin,Prionotus roseus,prionotus roseus,Searobin,Triglidae,
TWA,0653,Bluestriped Dartfish,Ptereleotris randalli,ptereleotris randalli,Dartfish,Ptereleotridae,
TWA,0105,Bluestriped Grunt,Haemulon sciurus,haemulon sciurus,Grunt,Haemulidae,
TWA,0469,Bluestriped Lizardfish,Synodus saurus,synodus saurus,Lizardfish,Synodontidae,
TWA,0340,Bluethroat Pikeblenny,Chaenopsis ocellata,chaenopsis ocellata,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0850,Bluewing Searobin,Prionotus punctatus,prionotus punctatus,Searobin,Triglidae,
TWA,1065,Blunt-snout Goby,Psilotris amblyrhynchus,psilotris amblyrhynchus,Goby,Gobiidae,
TWA,1117,Bluntnose Jack,Hemicaranx amblyrhynchus,hemicaranx amblyrhynchus,Jack,Carangidae,
TWA,0754,Bluntnose Stingray,Hypanus say,hypanus say,Stingray,Dasyatidae,
TWA,0023,Boga,Haemulon vittatum,haemulon vittatum,Grunt,Haemulidae,
TWA,0347,Bonefish,Albula vulpes,albula vulpes,Bonefish,Albulidae,
TWA,0547,Bonnethead,Sphyrna tiburo,sphyrna tiburo,Hammerhead Shark,Sphyrnidae,
TWA,0024,Bonnetmouth,Emmelichthyops atlanticus,emmelichthyops atlanticus,Grunt,Haemulidae,
TWA,0943,Brassy Chub,Kyphosus vaigiensis,kyphosus vaigiensis,Chub,Kyphosidae,
TWA,1147,Brazil Clingfish,Tomicodon australis,tomicodon australis,Clingfish,Gobiesocidae,
TWA,1075,Brazil Ocean Surgeonfish,Acanthurus bahianus,acanthurus bahianus,Surgeonfish,Acanthuridae,
TWA,0975,Brazilian Basslet,Gramma brasiliensis,gramma brasiliensis,Basslet,Grammatidae,
TWA,0819,Brazilian Cardinal,Apogon americanus,apogon americanus,Cardinalfish,Apogonidae,
TWA,0980,Brazilian Chromis (aka Jubauna Reeffish),Chromis jubauna,chromis jubauna,Damselfish,Pomacentridae,
TWA,1013,Brazilian Clown Wrasse,Halichoeres penrosei,halichoeres penrosei,Wrasse,Labridae,
TWA,1015,Brazilian Cocoa Damselfish,Stegastes variabilis,stegastes variabilis,Damselfish,Pomacentridae,
TWA,1084,Brazilian Glass Blenny,Emblemariopsis signifer,emblemariopsis signifer,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0809,Brazilian Razorfish,Xyrichtys incandescens,xyrichtys incandescens,Wrasse,Labridae,
TWA,0977,Brazilian Reef Stingray,Hypanus marianae,hypanus marianae,Stingray,Dasyatidae,
TWA,1141,Brazilian Saddled Blenny,Malacoctenus zaluari,malacoctenus zaluari,Blenny - Labrisomids,Labrisomidae,
TWA,0967,Brazilian Wrasse,Halichoeres brasiliensis,halichoeres brasiliensis,Wrasse,Labridae,
TWA,0982,Brazilian Yellowcheek Wrasse,Halichoeres dimidiatus,halichoeres dimidiatus,Wrasse,Labridae,
TWA,0351,Bridle Cardinalfish,Apogon aurolineatus,apogon aurolineatus,Cardinalfish,Apogonidae,
TWA,0165,Bridled Burrfish,Chilomycterus antennatus,chilomycterus antennatus,Porcupinefish,Diodontidae,
TWA,0935,Bridled Goby (true species; not complex),Coryphopterus glaucofraenum,coryphopterus glaucofraenum,Goby,Gobiidae,
TWA,0079,Bridled Goby Complex (Bridled/Sand-Canyon/Patch-Reef),C. glaucofraenum/C. venezuelae/C. tortugae,c. glaucofraenum,Goby,Gobiidae,
TWA,0382,Broadbanded Moray,Channomuraena vittata,channomuraena vittata,Moray,Muraenidae,
TWA,0352,Broadsaddle Cardinalfish,Apogon pillionatus,apogon pillionatus,Cardinalfish,Apogonidae,
TWA,0418,Broadstripe Goby,Elacatinus prochilos,elacatinus prochilos,Goby,Gobiidae,
TWA,0353,Bronze Cardinalfish,Astrapogon alutus,astrapogon alutus,Cardinalfish,Apogonidae,
TWA,0444,Bronzestriped Grunt,Haemulon boschmae,haemulon boschmae,Grunt,Haemulidae,
TWA,0865,Brown Burrfish,Chilomycterus spinosus spinosus,chilomycterus spinosus,Porcupinefish,Diodontidae,
TWA,0043,Brown Chromis,Azurina multilineata,azurina multilineata,Damselfish,Pomacentridae,
TWA,0060,Brown Garden Eel,Heteroconger longissimus,heteroconger longissimus,Conger,Congridae,
TWA,0817,Brownbar Goby,Priolepis dawsoni,priolepis dawsoni,Goby,Gobiidae,
TWA,0808,Brownstripe Grunt,Anisotremus moricandi,anisotremus moricandi,Grunt,Haemulidae,
TWA,0892,Brushtail Tang (exotic),Zebrasoma scopas,zebrasoma scopas,Surgeonfish,Acanthuridae,
TWA,0146,Bucktooth Parrotfish,Sparisoma radians,sparisoma radians,Parrotfish,Scaridae,
TWA,0900,Bull Pipefish,Syngnathus springeri,syngnathus springeri,Pipefish and Seahorse,Syngnathidae,
TWA,0552,Bull Shark,Carcharhinus leucas,carcharhinus leucas,Requiem Shark,Carcharhinidae,
TWA,1136,Bullnose Ray,Myliobatis freminvillei,myliobatis freminvillei,Eagle Ray,Myliobatidae,
TWA,1109,Burro Grunt,Rhonciscus crocro,rhonciscus crocro,Grunt,Haemulidae,
TWA,0121,Butter Hamlet,Hypoplectrus unicolor,hypoplectrus unicolor,Seabass,Serranidae,
TWA,0761,Butterfish,Peprilus triacanthus,peprilus triacanthus,Butterfishes,Stromateidae,
TWA,0106,Caesar Grunt,Haemulon carbonarium,haemulon carbonarium,Grunt,Haemulidae,
TWA,0532,Candy Basslet,Liopropoma carmabi,liopropoma carmabi,Basslet / Seabass,Liopropomatinae,
TWA,0568,Cardinal Soldierfish,Plectrypops retrospinis,plectrypops retrospinis,Squirrelfish,Holocentridae,
TWA,1080,Caribbean Blenny,Emblemaria caldwelli,emblemaria caldwelli,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0901,Caribbean Neon Goby,Elacatinus lobeli,elacatinus lobeli,Goby,Gobiidae,
TWA,0907,Caribbean ocellated moray,Gymnothorax ocellatus,gymnothorax ocellatus,Moray,Muraenidae,
TWA,0685,Caribbean Pipefish,Syngnathus caribbaeus,syngnathus caribbaeus,Pipefish and Seahorse,Syngnathidae,
TWA,0504,Caribbean Puffer,Sphoeroides greeleyi,sphoeroides greeleyi,Puffer,Tetraodontidae,
TWA,0561,Caribbean Red Snapper,Lutjanus purpureus,lutjanus purpureus,Snapper,Lutjanidae,
TWA,0627,Caribbean Tonguefish,Symphurus arawak,symphurus arawak,Tonguefishes,Cynoglossidae,
TWA,0519,Caribbean Whiptail Stingray,Himantura schmardae,himantura schmardae,Stingray,Dasyatidae,
TWA,0368,Carolina Hake,Urophycis earllii,urophycis earllii,Cod,Gadidae,
TWA,0533,Cave Basslet,Liopropoma mowbrayi,liopropoma mowbrayi,Basslet / Seabass,Liopropomatinae,
TWA,0929,Cayman Bluespotted Variant Yellow Jawfish (aka Dottie’s Jawfish),Opistognathus cf. gilberti,opistognathus cf,Jawfish,Opistognathidae,
TWA,0946,Cayman Cleaning Goby,Elacatinus cayman,elacatinus cayman,Goby,Gobiidae,
TWA,1068,Cayman Greenbanded Goby,Tigrigobius harveyi,tigrigobius harveyi,Goby,Gobiidae,
TWA,1003,Cayman Sponge Goby,Elacatinus centralis,elacatinus centralis,Goby,Gobiidae,
TWA,0142,Cero,Scomberomorus regalis,scomberomorus regalis,Mackerel,Scombridae,
TWA,0061,Chain Moray,Echidna catenata,echidna catenata,Moray,Muraenidae,
TWA,0879,Chain Pipefish,Syngnathus louisianae,syngnathus louisianae,Pipefish and Seahorse,Syngnathidae,
TWA,0179,Chalk Bass,Serranus tortugarum,serranus tortugarum,Seabass,Serranidae,
TWA,0666,Chameleon Blenny,Protemblemaria punctata,protemblemaria punctata,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0396,Channel Flounder,Syacium micrurum,syacium micrurum,Flounder,Bothidae,
TWA,1069,Checkerboard Frillfin,Bathygobius lacertus,bathygobius lacertus,Goby,Gobiidae,
TWA,0505,Checkered Puffer,Sphoeroides testudineus,sphoeroides testudineus,Puffer,Tetraodontidae,
TWA,0320,Checkered Shy Blenny Complex,Starksia ocellata complex,starksia ocellata,Blenny - Labrisomids,Labrisomidae,
TWA,0002,Cherubfish,Centropyge argi,centropyge argi,Angelfish,Pomacanthidae,
TWA,0675,Chessboard Shy Blenny Complex,Starksia sluiteri complex,starksia sluiteri,Blenny - Labrisomids,Labrisomidae,
TWA,0383,Chestnut Moray,Enchelycore carychroa,enchelycore carychroa,Moray,Muraenidae,
TWA,0778,Chub Mackerel,Scomber japonicus,scomber japonicus,Mackerel,Scombridae,
TWA,0824,Cinta Goby,Tigrigobius redimiculus,tigrigobius redimiculus,Goby,Gobiidae,
TWA,0419,Cleaning Goby,Elacatinus genie,elacatinus genie,Goby,Gobiidae,
TWA,0517,Clearnose Skate,Rostroraja eglanteria,rostroraja eglanteria,Skate,Rajidae,
TWA,0838,Clown Goby,Microgobius gulosus,microgobius gulosus,Goby,Gobiidae,
TWA,0214,Clown Wrasse,Halichoeres maculipinna,halichoeres maculipinna,Wrasse,Labridae,
TWA,0367,Cobia,Rachycentron canadum,rachycentron canadum,Cobia,Rachycentridae,
TWA,0049,Cocoa Damselfish,Stegastes xanthurus,stegastes xanthurus,Damselfish,Pomacentridae,
TWA,0881,Code Goby,Gobiosoma robustum,gobiosoma robustum,Goby,Gobiidae,
TWA,0947,Colin's Sponge Goby,Elacatinus colini,elacatinus colini,Goby,Gobiidae,
TWA,0080,Colon Goby,Coryphopterus dicrus,coryphopterus dicrus,Goby,Gobiidae,
TWA,0233,Common Snook,Centropomus undecimalis,centropomus undecimalis,Snook,Centropomidae,
TWA,0354,Conchfish,Astrapogon stellatus,astrapogon stellatus,Cardinalfish,Apogonidae,
TWA,0093,Coney,Cephalopholis fulva,cephalopholis fulva,Seabass,Serranidae,
TWA,0379,Conger Eel,Conger oceanicus,conger oceanicus,Conger,Congridae,
TWA,0918,Contoy Hamlet,Hypoplectrus ecosur,hypoplectrus ecosur,Seabass,Serranidae,
TWA,0795,Convict Goby,Lythrypnus phorellus,lythrypnus phorellus,Goby,Gobiidae,
TWA,0321,Coral Blenny,Paraclinus cingulatus,paraclinus cingulatus,Blenny - Labrisomids,Labrisomidae,
TWA,0672,Coral Scorpionfish,Scorpaena albifimbria,scorpaena albifimbria,Scorpionfish,Scorpaenidae,
TWA,0445,Corocoro Grunt,Orthopristis ruber,orthopristis ruber,Grunt,Haemulidae,
TWA,0454,Cottonmouth Jack,Uraspis secunda,uraspis secunda,Jack,Carangidae,
TWA,0107,Cottonwick,Haemulon melanurum,haemulon melanurum,Grunt,Haemulidae,
TWA,0807,Cownose Ray,Rhinoptera bonasus,rhinoptera bonasus,Stingray,Dasyatidae,
TWA,1079,Cozumel Toadfish (not the same as Splendid Toad),Sanopus johnsoni,sanopus johnsoni,Toadfish,Batrachoididae,
TWA,0215,Creole Wrasse,Bodianus parrae,bodianus parrae,Wrasse,Labridae,
TWA,0180,Creolefish (Atlantic),Paranthias furcifer,paranthias furcifer,Seabass,Serranidae,
TWA,0608,Crested Blenny,Hypleurochilus geminatus,hypleurochilus geminatus,Blenny - Combtooth,Blenniidae,
TWA,0420,Crested Goby,Lophogobius cyprinoides,lophogobius cyprinoides,Goby,Gobiidae,
