scientificName,match_key,genus,commonName,description,bookPage,indexSection,category,subCategory,source
Acanthurus tractus,acanthurus tractus,Acanthurus,ocean surgeonfish,Uniformly blue or greenish body with no bars. Blue lines radiate behind eye. Always yellow-orange pectoral fin.,357,FISHES,fishes,surgeonfishes,epub_profile
Acetabularia calyculus,acetabularia calyculus,Acetabularia,green mermaid’s wineglass,Dark green cup shape on a long slender stalk. Rounded ridges radiate from the center to form bulbous edges.,16,MARINE PLANTS,plants,green-algae,epub_profile
Acetabularia crenulata,acetabularia crenulata,Acetabularia,white mermaid’s wineglass,Round white cup shape on a long white stalk. Rounded ridges with pale valleys radiating from the center.,16,MARINE PLANTS,plants,green-algae,epub_profile
Achelous ordwayi,achelous ordwayi,Achelous,redhair swimming crab,Red to yellowish-brown carapace. Long tufts of red hair along the tops of claw arms. Pale bands on the claws.,285,SPONGES,invertebrates,crabs,epub_profile
Achelous sebae,achelous sebae,Achelous,ocellate swimming crab,"Reddish-brown carapace with two distinctive large dark spots to the rear, each circled in white. Darker claw tips.",285,SPONGES,invertebrates,crabs,epub_profile
Achelous spinimanus,achelous spinimanus,Achelous,blotched swimming crab,Bluish-gray to light brown carapace covered with dark brown lines and blotches. Sharp spines on claw arms.,285,SPONGES,invertebrates,crabs,epub_profile
Achirus lineatus,achirus lineatus,Achirus,Lined sole,Tan to gray with tufts of cirri and dark spots in faint lines. Small pectoral fin and fleshy groove at top of gill cover.,327,FISHES,fishes,flounders,epub_profile
Acropora cervicornis,acropora cervicornis,Acropora,,,73,CORALS,corals,branching-corals,scientific_index
Acropora palmata,acropora palmata,Acropora,,,72,CORALS,corals,branching-corals,scientific_index
Acropora prolifera,acropora prolifera,Acropora,,,73,CORALS,corals,branching-corals,scientific_index
Acrosterigma magnum,acrosterigma magnum,Acrosterigma,Magnum Cockle,Cream to reddish-brown valves. Distinct radial ribs (with fine concentric threads) lead to serrated valve margins.,213,SPONGES,invertebrates,clams,epub_profile
Actinoporus elegans,actinoporus elegans,Actinoporus,elegant anemone,"Only the oral disc appears above sand, with short round tentacles. Retracts into a donut shape during the day.",117,SPONGES,invertebrates,anemones,epub_profile
Actinostella flosculifera,actinostella flosculifera,Actinostella,Collared Sand anemone,Flattened oral disc with bulbous warty projections. Tentacles around rim formed into rectangular shapes.,117,SPONGES,invertebrates,anemones,epub_profile
Acyrtops beryllinus,acyrtops beryllinus,Acyrtops,Emerald clingfish,"Bright green to brownish body with white spots and lines. Dark lines radiate from eye. Seagrass beds, up to 3m.",341,FISHES,fishes,clingfishes,epub_profile
Acyrtus artius,acyrtus artius,Acyrtus,Papillate clingfish,Reddish-orange head and front body. Rear body with four reddish-brown bars and spots. May show blue spots.,341,FISHES,fishes,clingfishes,epub_profile
Acyrtus rubiginosus,acyrtus rubiginosus,Acyrtus,red clingfish,"Reddish-purple body with darker red cross-bars. May be solid red or blue-spotted. Shallow, often under urchins.",341,FISHES,fishes,clingfishes,epub_profile
Adeonellopsis subsulcata,adeonellopsis subsulcata,Adeonellopsis,White tangled bryozoan,Rigid colonies of thin cylindrical branches. Rectangular zooids are clearly visible. Prefers deep reefs and walls.,139,SPONGES,invertebrates,bryozoans,epub_profile
Aequorea forskalea,aequorea forskalea,Aequorea,jelly hydromedusa,Transparent dome. Numerous tentacles attach to the bell and also appear to continue onto it in radial lines.,111,SPONGES,invertebrates,jellies,epub_profile
Aequorea neocyanea,aequorea neocyanea,Aequorea,Cyan Hydromedusa,"Radial canals extend onto a large belly, half of the bell’s diameter. Sparse thin tentacles, swollen at the base.",111,SPONGES,invertebrates,jellies,epub_profile
Aetobatus narinari,aetobatus narinari,Aetobatus,spotted Eagle ray,Dark gray to black above with white spots and circles. White below. Flattened upturned snout. Small eyes.,440,FISHES,fishes,rays,epub_profile
Agalma elegans,agalma elegans,Agalma,delicate agalma siphonophore,Transparent body with short tentacles up to 30 cm / 1 ft. Small individuals may show a greenish bioluminescence.,115,SPONGES,invertebrates,jellies,epub_profile
Agardhiella ramosissima,agardhiella ramosissima,Agardhiella,Branching Agardhiella,"Slippery rose-red flattened stalks, repeatedly branching to form a low bush. Found attached to deeper substrates.",38,MARINE PLANTS,plants,red-algae,epub_profile
Agaricia agaricites,agaricia agaricites,Agaricia,,,75,CORALS,corals,lettuce-corals,scientific_index
Agaricia fragilis,agaricia fragilis,Agaricia,,,87,CORALS,corals,plate-corals,scientific_index
Agaricia grahamae,agaricia grahamae,Agaricia,,,87,CORALS,corals,plate-corals,scientific_index
Agaricia humilis,agaricia humilis,Agaricia,,,75,CORALS,corals,lettuce-corals,scientific_index
Agaricia lamarcki,agaricia lamarcki,Agaricia,,,87,CORALS,corals,plate-corals,scientific_index
Agaricia tenuifolia,agaricia tenuifolia,Agaricia,,,74,CORALS,corals,lettuce-corals,scientific_index
Agaricia undata,agaricia undata,Agaricia,,,87,CORALS,corals,plate-corals,scientific_index
Agathistoma fasciatum,agathistoma fasciatum,Agathistoma,Silky Tegula,Rounded shell with a low spire. Tan to black with white blotches. Spiral lines of white dashes. Found in shallows.,233,SPONGES,invertebrates,snails,epub_profile
Agelas cerebrum,agelas cerebrum,Agelas,,,57,SPONGES,sponges,ball-sponges,scientific_index
Agelas cervicornis,agelas cervicornis,Agelas,,,48,SPONGES,sponges,encrusting-sponges,scientific_index
Agelas citrina,agelas citrina,Agelas,,,61,SPONGES,sponges,tube-sponges,scientific_index
Agelas clathrodes,agelas clathrodes,Agelas,,,44,SPONGES,sponges,encrusting-sponges,scientific_index
Agelas conifera,agelas conifera,Agelas,,,57,SPONGES,sponges,ball-sponges,scientific_index
Agelas sceptrum,agelas sceptrum,Agelas,,,49,SPONGES,sponges,encrusting-sponges,scientific_index
Agelas sventres,agelas sventres,Agelas,,,42,SPONGES,plants,red-algae,scientific_index
Agelas tubulata,agelas tubulata,Agelas,,,57,SPONGES,sponges,ball-sponges,scientific_index
Agelas wiedenmayeri,agelas wiedenmayeri,Agelas,,,57,SPONGES,sponges,ball-sponges,scientific_index
Ahlia egmontis,ahlia egmontis,Ahlia,key worm eel,"Bright orange to brownish body, paler below. Upper jaw extends beyond lower jaw. Found in shallow sand/rubble.",439,FISHES,fishes,eels,epub_profile
Aiolochroia crassa,aiolochroia crassa,Aiolochroia,,,60,SPONGES,sponges,tube-sponges,scientific_index
Alatina alata,alatina alata,Alatina,sea wasp,Smooth transparent bell with four long thin trailing tentacles. Sting causes intense pain. Found in shallows.,108,SPONGES,invertebrates,jellies,epub_profile
Albula vulpes,albula vulpes,Albula,bonefish,Long silvery to greenish body with a single tall dorsal fin. Dark oval spot on pointed snout. Found in shallow areas.,426,FISHES,fishes,silvery-fishes,epub_profile
Alectis ciliaris,alectis ciliaris,Alectis,african pompano,Long filaments from behind dorsal and anal fins (shorter with age). Small diffuse dark spot on upper gill cover.,418,FISHES,fishes,jacks,epub_profile
Alima neptuni,alima neptuni,Alima,Neptune Squilla,Pale translucent body with white-edged body segments and scattered black spots. Long white lines on head.,263,SPONGES,invertebrates,shrimps,epub_profile
Alphestes afer,alphestes afer,Alphestes,Mutton Hamlet,"Mottled reddish-brown body, sometimes with faint bands. Dark brown and pale spots. Red eye set close to snout.",401,FISHES,fishes,basses,epub_profile
Alpheus amarillo,alpheus amarillo,Alpheus,yellow snapping shrimp,Transparent body with visible internal organs. One oversized major claw with yellow or purple highlights.,261,SPONGES,invertebrates,shrimps,epub_profile
Alpheus armatus,alpheus armatus,Alpheus,red snapping shrimp,Red body with white spots on abdomen and dark spots above. Green-gold spots on claws and down the back.,261,SPONGES,invertebrates,shrimps,epub_profile
Alpheus armillatus,alpheus armillatus,Alpheus,Banded snapping shrimp,Translucent body with eight reddish-brown bands. Large smooth major claw. Often found living in pairs.,260,SPONGES,invertebrates,shrimps,epub_profile
Alpheus floridanus,alpheus floridanus,Alpheus,sand snapping shrimp,Grayish body with irregular bands. Lives in a symbiotic relationship with the Orangespotted Goby (p. 294).,261,SPONGES,invertebrates,shrimps,epub_profile
Alpheus immaculatus,alpheus immaculatus,Alpheus,spotless snapping shrimp,Red body with white spots on abdomen and dark spots above. White patches on claws with no green-gold spots.,261,SPONGES,invertebrates,shrimps,epub_profile
Alpheus verrilli,alpheus verrilli,Alpheus,Verrill’s snapping shrimp,"Brown body with wide dark bands. Variable patterns, claws may have green speckling and pale orange tips.",261,SPONGES,invertebrates,shrimps,epub_profile
Aluterus monoceros,aluterus monoceros,Aluterus,Unicorn filefish,"Small mouth on elongated snout, distinctively concave below and convex above. Pale dorsal and anal fins.",366,FISHES,fishes,filefishes,epub_profile
Aluterus scriptus,aluterus scriptus,Aluterus,scrawled filefish,Yellowish to tan body covered with bright blue lines and black spots. Long first dorsal spine. Distinctively long tail.,366,FISHES,fishes,filefishes,epub_profile
Amblycirrhitus pinos,amblycirrhitus pinos,Amblycirrhitus,redspotted hawkfish,Tall barred body. Bright red spots on face and dorsal fin. Red tassels on dorsal spine tips. Dark bar at tail base.,335,FISHES,fishes,lizardfishes,epub_profile
Amphelikturus dendriticus,amphelikturus dendriticus,Amphelikturus,Pipehorse (Juvenile),"Smaller individuals are usually darker, with fewer fleshy appendages and often hide in lagoons and seagrass.",346,FISHES,fishes,pipefishes,epub_profile
Amphimedon compressa,amphimedon compressa,Amphimedon,,,49,SPONGES,sponges,encrusting-sponges,scientific_index
Amphiroa brasiliana,amphiroa brasiliana,Amphiroa,brazilian twig alga,Loose clusters of thin tan to gold branches that divide near the tips. Found in the shallows among Turtle Grass.,33,MARINE PLANTS,plants,red-algae,epub_profile
Amphiroa fragilissima,amphiroa fragilissima,Amphiroa,delicate twig alga,"Dense clusters of extremely fine calcified branches. Pale pink to yellowish-green, with distinctively white tips.",33,MARINE PLANTS,plants,red-algae,epub_profile
Amphiroa rigida,amphiroa rigida,Amphiroa,y-twig alga,Widely branching segments are slightly flattened. Pale pink to white in color. Found growing in dense clumps.,33,MARINE PLANTS,plants,red-algae,epub_profile
Amphiroa tribulus,amphiroa tribulus,Amphiroa,flat twig alga,"Distinctively flattened segments, repeatedly branching from a common base. Pink to reddish with white tips.",33,MARINE PLANTS,plants,red-algae,epub_profile
Anadyomene stellata,anadyomene stellata,Anadyomene,Papyrus print alga,Thin rounded green blades with lighter veins running towards the edges in a distinctively star-shaped pattern.,17,MARINE PLANTS,plants,green-algae,epub_profile
Analcidometra armata,analcidometra armata,Analcidometra,swimming crinoid,Ten long pale arms with thin red banding. Red side branches. Can swim about by undulating the arms.,147,SPONGES,invertebrates,crinoids,epub_profile
Ancylomenes pedersoni,ancylomenes pedersoni,Ancylomenes,pederson cleaner shrimp,"Dark purple spots on claw arms, back and tail. Long thin antennae. Found on Corkscrew Anemones (p. 121).",249,SPONGES,invertebrates,shrimps,epub_profile
Anilocra myripristis,anilocra myripristis,Anilocra,Soldierfish isopod,Rounded body with light brown overlapping plates. Attaches to the head of Blackbar Soldierfish (p. 325).,265,SPONGES,invertebrates,shrimps,epub_profile
Anisonotus curvirostris,anisonotus curvirostris,Anisonotus,curved-nose neck crab,Distinctive upward curve on sharp rostrum. Pale pink body with small orange spots. Often in tube sponges.,275,SPONGES,invertebrates,crabs,epub_profile
Anisotremus surinamensis,anisotremus surinamensis,Anisotremus,black margate,Large diffuse black patch behind pectoral fin. All fins are black. Found in or near the entrances to caves.,376,FISHES,fishes,grunts,epub_profile
Anisotremus virginicus,anisotremus virginicus,Anisotremus,porkfish,"Two wide black bars on head, one through eye and another behind gill cover to below pectoral fin. All fins are yellow.",376,FISHES,fishes,grunts,epub_profile
Anodontia alba,anodontia alba,Anodontia,buttercup lucine,Rounded pale brown to yellow valves with faint growth lines. Pale interior with numerous short white tentacles.,213,SPONGES,invertebrates,clams,epub_profile
Anomoeomunida caribensis,anomoeomunida caribensis,Anomoeomunida,Caribbean squat lobster,"Pale brown carapace, sometimes with a darker longitudinal stripe. Dark-banded claw arms. Found in sand and rubble.",268,SPONGES,invertebrates,shrimps,epub_profile
Antennarius multiocellatus,antennarius multiocellatus,Antennarius,longlure frogfish (Juvenile),"Color varies, often red or black. Transparent spots on tail and fins, mimicking sponges. Large blunt first dorsal fin.",331,FISHES,fishes,frogfishes,epub_profile
Antennarius pauciradiatus,antennarius pauciradiatus,Antennarius,dwarf frogfish,The smallest of the frogfishes. Small brown spots on first dorsal soft ray and at mid-base of dorsal fin. Short lure.,331,FISHES,fishes,frogfishes,epub_profile
Antennarius scaber,antennarius scaber,Antennarius,striated frogfish,"Thin dark lines and spots on head, body and fins. Color varies (may be black). Lure with worm-like appendages.",331,FISHES,fishes,frogfishes,epub_profile
Antillipecten antillarum,antillipecten antillarum,Antillipecten,Antillean Scallop,Flattened yellow to light brown valves with wavy streaks. Widely spaced low radial ribs. May attach to gorgonians.,215,SPONGES,invertebrates,clams,epub_profile
Antillogorgia americana,antillogorgia americana,Antillogorgia,,,99,CORALS,corals,octocorals,scientific_index
Antillogorgia bipinnata,antillogorgia bipinnata,Antillogorgia,bipinnate sea plume (variation),"Occasionally the branches of the Bipinnate Sea Plume will be pale pink, yellow or even dull whitish in color.",101,CORALS,corals,octocorals,epub_profile
Antipathes atlantica,antipathes atlantica,Antipathes,,,91,CORALS,corals,black-corals,scientific_index
Antipathes caribbeana,antipathes caribbeana,Antipathes,,,90,CORALS,corals,black-corals,scientific_index
Antipathes lenta,antipathes lenta,Antipathes,,,91,CORALS,corals,black-corals,scientific_index
Antipathes umbratica,antipathes umbratica,Antipathes,,,91,CORALS,corals,black-corals,scientific_index
Aphelodoris antillensis,aphelodoris antillensis,Aphelodoris,Antillean doris,"Translucent dorsum with dark brown speckles. Mantle fringed with white and yellow, with larger black spots.",188,SPONGES,invertebrates,nudibranchs,epub_profile
Aplysia brasiliana,aplysia brasiliana,Aplysia,Mottled seahare,Translucent yellowish-brown or green to black. Irregular brown mottling and white patches. An active swimmer.,209,SPONGES,invertebrates,nudibranchs,epub_profile
Aplysia dactylomela,aplysia dactylomela,Aplysia,spotted seahare,Tan to greenish-brown body. Numerous dark circles and pale spots. Parapodial wings usually closed over back.,206,SPONGES,invertebrates,nudibranchs,epub_profile
Aplysia ghanimi,aplysia ghanimi,Aplysia,Hessam’s seahare,Elongate brownish-red body with white speckles. Dark edges on parapodia and rhinophore and tentacle tips.,207,SPONGES,invertebrates,nudibranchs,epub_profile
Aplysia juliana,aplysia juliana,Aplysia,Walking seahare,"Color varies, often brown with pale spots. While moving, a sucker on rear foot anchors it while the body stretches.",209,SPONGES,invertebrates,nudibranchs,epub_profile
Aplysia morio,aplysia morio,Aplysia,atlantic black seahare,Dark purple to black body with some faint mottling. Can sometimes spread its parapodial wings to swim away.,206,SPONGES,invertebrates,nudibranchs,epub_profile
Aplysia parvula,aplysia parvula,Aplysia,white-spotted seahare,Robust cream to brown body with white blotches. Dark lines along parapodia and rhinophore and tentacle tips.,207,SPONGES,invertebrates,nudibranchs,epub_profile
Aplysina archeri,aplysina archeri,Aplysina,,,58,SPONGES,sponges,vase-sponges,scientific_index
Aplysina bathyphila,aplysina bathyphila,Aplysina,,,63,SPONGES,sponges,tube-sponges,scientific_index
Aplysina cauliformis,aplysina cauliformis,Aplysina,,,48,SPONGES,sponges,encrusting-sponges,scientific_index
Aplysina fistularis,aplysina fistularis,Aplysina,,,58,SPONGES,sponges,vase-sponges,scientific_index
Aplysina fulva,aplysina fulva,Aplysina,,,48,SPONGES,sponges,encrusting-sponges,scientific_index
Aplysina insularis,aplysina insularis,Aplysina,,,58,SPONGES,sponges,vase-sponges,scientific_index
Aplysina lacunosa,aplysina lacunosa,Aplysina,,,63,SPONGES,sponges,tube-sponges,scientific_index
Apogon aurolineatus,apogon aurolineatus,Apogon,bridle cardinalfish,Red to salmon body with no distinctive markings. Usually a dark line radiating from eye. Found near anemones.,323,FISHES,fishes,cardinalfishes,epub_profile
Apogon binotatus,apogon binotatus,Apogon,barred Cardinalfish,Pale bronze body. Dark bar from behind second dorsal fin down to anal fin. A second dark bar at tail base.,320,FISHES,fishes,cardinalfishes,epub_profile
Apogon lachneri,apogon lachneri,Apogon,whitestar cardinalfish,"Two small spots behind second dorsal fin, first black then smaller white. Darker tips on second dorsal and anal fins.",320,FISHES,fishes,cardinalfishes,epub_profile
Apogon maculatus,apogon maculatus,Apogon,flamefish,Dark spot under second dorsal fin. Stripe from snout to edge of gill cover. White lines on top and bottom of eye.,321,FISHES,fishes,cardinalfishes,epub_profile
Apogon phenax,apogon phenax,Apogon,mimic cardinalfish,Bar behind dorsal fin narrows to point above abdomen (compare: A. robinsi). Often a darker bar at tail base.,323,FISHES,fishes,cardinalfishes,epub_profile
Apogon pillionatus,apogon pillionatus,Apogon,Broadsaddle Cardinalfish,"Narrow dark bar behind second dorsal fin and wide bar towards tail base, each with a narrow white bar behind it.",321,FISHES,fishes,cardinalfishes,epub_profile
Apogon planifrons,apogon planifrons,Apogon,pale Cardinalfish,Pale pink head and body with pearly highlights. Thin dark bar behind second dorsal fin and a wider bar at tail base.,321,FISHES,fishes,cardinalfishes,epub_profile
Apogon pseudomaculatus,apogon pseudomaculatus,Apogon,twospot cardinalfish,"Dark spots under second dorsal fin, at base of tail and on edge of gill cover. White lines on top and bottom of eye.",321,FISHES,fishes,cardinalfishes,epub_profile
Apogon quadrisquamatus,apogon quadrisquamatus,Apogon,sawcheek Cardinalfish,Reddish-bronze to salmon body with darker speckles. Elongated oval spot at tail base. Fins often pale yellow.,321,FISHES,fishes,cardinalfishes,epub_profile
Apogon robbyi,apogon robbyi,Apogon,striped Cardinalfish,"Translucent to reddish-bronze body with thin dark stripes. Dark spot at tail base, sometimes diffuse. Yellowish fins.",321,FISHES,fishes,cardinalfishes,epub_profile
Apogon robinsi,apogon robinsi,Apogon,roughlip cardinalfish,Dark bar behind second dorsal fin continues to anal fin. Dark borders on dorsal and anal fins. Wide bar at tail base.,322,FISHES,fishes,cardinalfishes,epub_profile
Apogon townsendi,apogon townsendi,Apogon,belted Cardinalfish,"Pink body with orange abdomen. Three dark bars: behind second dorsal fin, near tail and at tail base.",320,FISHES,fishes,cardinalfishes,epub_profile
Apsilus dentatus,apsilus dentatus,Apsilus,black snapper,"Solid dark blue body and fins. High, curving lateral line. Found on deeper reefs and headlands with current.",415,FISHES,fishes,snappers,epub_profile
Aquarickettsia rohweri,aquarickettsia rohweri,Aquarickettsia,,,105,CORALS,corals,octocorals,scientific_index
Archosargus probatocephalus,archosargus probatocephalus,Archosargus,Sheepshead,Silvery-gray body with five to seven distinct dark bars. Found on rocky shores in coastal areas (not islands).,429,FISHES,fishes,porgies,epub_profile
Archosargus rhomboidalis,archosargus rhomboidalis,Archosargus,Sea Bream,Rounded bluish-silver body with yellow stripes. Dark spot below lateral line (compare: spot on L. rhomboides).,429,FISHES,fishes,porgies,epub_profile
Arenicola cristata,arenicola cristata,Arenicola,southern lugworm,Only seen by the waste that this worm blows up onto the sand. A small pit nearby is the burrow’s entrance.,165,SPONGES,invertebrates,worms,epub_profile
Ariosoma balearicum,ariosoma balearicum,Ariosoma,bandtooth conger,Brown body with a silvery sheen near abdomen. Bright orange crescent above iris. Small reddish pectoral fins.,437,FISHES,fishes,eels,epub_profile
Arturia canariensis,arturia canariensis,Arturia,,,46,SPONGES,sponges,encrusting-sponges,scientific_index
Ascidia sydneiensis,ascidia sydneiensis,Ascidia,green tube tunicate,Single greenish-yellow tube extending from the reef. Large incurrent siphon on a bulbous translucent tip.,130,SPONGES,invertebrates,tunicates,epub_profile
Asparagopsis taxiformis,asparagopsis taxiformis,Asparagopsis,Asparagus alga,Rigid pink to grayish stalks with densely packed short pointed branchlets. Gametophyte stage shown above.,39,MARINE PLANTS,plants,red-algae,epub_profile
Asterinides folium,asterinides folium,Asterinides,blunt-armed sea star,"Five short triangular arms with blunt tips. Color varies from white to yellow, red or blue. Found among rubble.",140,SPONGES,invertebrates,sea-stars,epub_profile
Asteromenia peltata,asteromenia peltata,Asteromenia,rubbery leaf alga,Low clusters of fleshy red to iridescent pink leaves. Blade margins are often branched and overlapping.,39,MARINE PLANTS,plants,red-algae,epub_profile
Asteropus niger,asteropus niger,Asteropus,,,53,SPONGES,sponges,rope-sponges,scientific_index
Astichopus multifidus,astichopus multifidus,Astichopus,furry sea cucumber,"Fleshy white to light brown body, often with blotches. Short podia on the back and in a skirt around the sole.",153,SPONGES,invertebrates,sea-cucumbers,epub_profile
Astrapogon puncticulatus,astrapogon puncticulatus,Astrapogon,blackfin Cardinalfish,"Bronze body and dark speckles on fins. Enlarged pelvic fins, often yellowish and with a darker leading edge.",322,FISHES,fishes,cardinalfishes,epub_profile
Astrapogon stellatus,astrapogon stellatus,Astrapogon,conchfish,Black to bronze with black speckles. Row of black dots down mid-side. Dark lines behind eye. Black pelvic fins.,322,FISHES,fishes,cardinalfishes,epub_profile
Astropecten duplicatus,astropecten duplicatus,Astropecten,Two-spined Sea star,"Five elongated arms bordered with a series of knobby plates, each with two sharp white spines. Color variable.",141,SPONGES,invertebrates,sea-stars,epub_profile
Astrophyton muricatum,astrophyton muricatum,Astrophyton,giant basket star,Long arms branch repeatedly from a tangled mass near the central disc. Light brown to reddish. Nocturnal.,146,SPONGES,invertebrates,crinoids,epub_profile
Astropyga magnifica,astropyga magnifica,Astropyga,magnificent urchin,Dark purple body with radiating red lines. Long spines are clustered in radial bands down the body segments.,149,SPONGES,invertebrates,sea-urchins,epub_profile
Astroscopus ygraecum,astroscopus ygraecum,Astroscopus,southern Stargazer,Gray body with white spots on head (may form radiating lines). Black stripes on tail (not continuing onto body).,339,FISHES,fishes,toadfishes,epub_profile
Atagema browni,atagema browni,Atagema,Brown’s Doris,Pale gray dorsum with black blotches. Elevated rows of white tubercles. Gills and rhinophores match body color.,190,SPONGES,invertebrates,nudibranchs,epub_profile
Atrina rigida,atrina rigida,Atrina,stiff penshell,"Dark to light brown valves with numerous raised ridges. Sharply pointed end is hidden in reef, sand or sponges.",215,SPONGES,invertebrates,clams,epub_profile
Aulostomus maculatus,aulostomus maculatus,Aulostomus,trumpetfish,Elongated body with pale stripes and scattered spots. Eyes set far back from elongated snout. Color is highly variable.,422,FISHES,fishes,trumpetfish,epub_profile
Austraeolis catina,austraeolis catina,Austraeolis,longhorn nudibranch,Elongated orange body. Two distinctive white spots on head. White tips on rhinophores and long oral tentacles.,201,SPONGES,invertebrates,nudibranchs,epub_profile
Avicennia germinans,avicennia germinans,Avicennia,,,9,MARINE PLANTS,plants,mangroves,scientific_index
Avrainvillea asarifolia,avrainvillea asarifolia,Avrainvillea,saucer blade alga,Broad fan-shaped dark green blades with a spongy tex-ture. Lower edge turns upward to attach to the stalk.,21,MARINE PLANTS,plants,green-algae,epub_profile
Avrainvillea longicaulis,avrainvillea longicaulis,Avrainvillea,paddle blade alga,Spongy paddle-shaped dark green blade with a distinctively thickened stalk. Prefers clear shallow water.,21,MARINE PLANTS,plants,green-algae,epub_profile
Babakina anadoni,babakina anadoni,Babakina,Gaudy Aeolid,"Pinkish-gray body. White, blue, yellow and red on cerata. White patch on front of head. Rhinophores fused at base.",197,SPONGES,invertebrates,nudibranchs,epub_profile
Balistes capriscus,balistes capriscus,Balistes,gray triggerfish (juvenile),"Dark gray body with bright blue spots and lines. Rarely on reefs, often found taking shelter under floating debris.",365,FISHES,fishes,triggerfishes,epub_profile
Balistes vetula,balistes vetula,Balistes,queen triggerfish (juvenile),Yellowish-gray body with thin dark diagonal stripes and small spots. Usually found close to shelter on the reef.,364,FISHES,fishes,triggerfishes,epub_profile
Banareia palmeri,banareia palmeri,Banareia,hoary rubble crab,"Pale yellow carapace, legs and claws covered in round orange nodules. Fine yellow bristles on legs and claws.",281,SPONGES,invertebrates,crabs,epub_profile
Bartholomea annulata,bartholomea annulata,Bartholomea,Corkscrew anemone,Numerous transparent tentacles have a spiraling white pattern. Oral disc usually hidden. Found in sandy areas.,121,SPONGES,invertebrates,anemones,epub_profile
Bascanichthys bascanium,bascanichthys bascanium,Bascanichthys,sooty eel,Dark head with bulbous snout that extends out in front of the mouth. Golden iris. Found buried in shallow sand.,437,FISHES,fishes,eels,epub_profile
Bathygobius antilliensis,bathygobius antilliensis,Bathygobius,Antilles Frillfin goby,Mottled brown with three dark saddles. Row of three blotches on lower flank. Dash-like spots along body.,299,FISHES,fishes,gobies,epub_profile
Bathygobius lacertus,bathygobius lacertus,Bathygobius,Checkerboard Frillfin goby,Mottled brown with three dark saddles. Two rows of dark blotches form a checkerboard pattern on lower flank.,299,FISHES,fishes,gobies,epub_profile
Bathygobius mystacium,bathygobius mystacium,Bathygobius,Island Frillfin goby,Mottled brown with three dark saddles. One row of dark blotches on lower flank. Dark blotch on lower tail base.,299,FISHES,fishes,gobies,epub_profile
Batzella rubra,batzella rubra,Batzella,,,45,SPONGES,sponges,encrusting-sponges,scientific_index
